ciruit_id,lutram,8kBRAM,128kBRAM,regularLB,requiredLB,TotalArea
0,658,425,14,4257,4257,0
1,923,479,14,4796,4796,0
2,0,50,6,1836,1836,0
3,0,41,9,2808,2808,0
4,141,818,26,8190,8190,0
5,0,4,12,3692,3692,0
6,4,186,5,1861,1861,0
7,34,401,12,4015,4015,0
8,0,272,17,5342,5342,0
9,0,13,5,1636,1636,0
10,446,229,4,2316,2316,0
11,92,128,5,1514,1514,0
12,0,8,5,1632,1632,0
13,0,0,13,4491,4491,0
14,38,178,6,1884,1884,0
15,0,33,6,1956,1956,0
16,0,6,7,2181,2181,0
17,0,14,3,1165,1165,0
18,0,172,5,2042,2042,0
19,261,275,7,2770,2770,0
20,24,272,8,2727,2727,0
21,0,18,17,5100,5100,0
22,432,321,10,3219,3219,0
23,0,1,17,5230,5230,0
24,0,234,13,4325,4325,0
25,0,95,15,4517,4517,0
26,186,168,0,1708,1708,0
27,0,20,0,1496,1496,0
28,0,126,5,1993,1993,0
29,62,314,9,3149,3149,0
30,0,179,18,5419,5419,0
31,0,80,0,4347,4347,0
32,0,259,10,3473,3473,0
33,0,249,13,4006,4006,0
34,51,432,13,1807,4320,0
35,44,145,4,1454,1454,0
36,653,395,18,2963,5400,0
37,0,0,12,14969,14969,0
38,53,389,0,3344,3890,0
39,92,274,8,1991,2740,0
40,0,141,10,3060,3060,0
41,104,306,9,2163,3060,0
42,0,72,2,1337,1337,0
43,97,140,4,1406,1406,0
44,0,160,7,2114,2114,0
45,0,0,3,2782,2782,0
46,180,372,11,3720,3720,0
47,0,45,4,1439,1439,0
48,0,314,20,6880,6880,0
49,1051,1397,44,13985,13985,0
50,0,142,39,11884,11884,0
51,0,20,13,4204,4204,0
52,0,641,0,9603,9603,0
53,0,672,36,10817,10817,0
54,0,717,36,10903,10903,0
55,158,1065,35,10657,10657,0
56,0,210,15,4578,4578,0
57,0,382,23,7145,7145,0
58,27,776,2,7754,7760,0
59,3400,1912,63,19156,19156,0
60,0,123,67,20371,20371,0
61,0,0,0,15079,15079,0
62,0,431,16,4888,4888,0
63,0,256,16,4846,4846,0
64,1425,1344,44,13512,13512,0
65,0,85,38,12721,12721,0
66,0,201,21,6310,6310,0
67,30,585,15,2521,5850,0
68,0,176,16,4850,4850,0
